"","ruta","archivo","qterm_pos","vterm_pos","qterm_neg","vterm_neg","tasaPosNot","tasaNegNot","vPolNot","anio","mes","dia","medio"
"30","./ieeelatam/data/marzo/semana3/","20200318_LA_Internaron a un pasajero que llegó en un colectivo a Santa Rosa con síntomas de coronavirus.txt",34,14.7596,9,2,0.434105882352941,0.222222222222222,7.3798,"2020","03","18","LA"
"31","./ieeelatam/data/marzo/semana3/","20200318_RF_Los baños de la plaza San Martín, cerrados.txt",7,2.9,0,0,0.414285714285714,NA,NA,"2020","03","18","RF"
"32","./ieeelatam/data/marzo/semana3/","20200319_DT_Circulan propaladoras para prevenir el COVID-19.txt",17,8.9,3,1.2,0.523529411764706,0.4,7.41666666666667,"2020","03","19","DT"
"33","./ieeelatam/data/marzo/semana3/","20200319_IP_Covid-19. se desestimó que el viajero interceptado en Santa Rosa se trate de “caso sospechoso”.txt",24,8.8429,7,2.4,0.368454166666667,0.342857142857143,3.68454166666667,"2020","03","19","IP"
"34","./ieeelatam/data/marzo/semana3/","20200319_LA_Clases en línea en tiempos de coronavirus.txt",48,23.7417,7,3.4666,0.49461875,0.495228571428571,6.84869901344257,"2020","03","19","LA"
"35","./ieeelatam/data/marzo/semana3/","20200319_LA_No descartan una cuarentena total si el coronavirus se expande.txt",119,53.24765,45,15.65,0.447459243697479,0.347777777777778,3.40240575079872,"2020","03","19","LA"
"36","./ieeelatam/data/marzo/semana3/","20200319_LA_Santa Isabel se anticipó y blindó hotelería y restaurantes.txt",55,23.7179,17,5.96663333333333,0.431234545454545,0.350978431372549,3.97508924630864,"2020","03","19","LA"
"37","./ieeelatam/data/marzo/semana3/","20200319_LA_Ya está disponible el listado de pampeanos en cuarentena.txt",16,5.8,2,0.4,0.3625,0.2,14.5,"2020","03","19","LA"
"38","./ieeelatam/data/marzo/semana3/","20200319_RF_Diputada propone un diferimiento en el pago de impuestos provinciales por seis meses.txt",32,17.6667,7,2.8,0.552084375,0.4,6.30953571428571,"2020","03","19","RF"
"39","./ieeelatam/data/marzo/semana3/","20200319_RF_El viajero interceptado en Santa Rosa no es un caso sospechoso.txt",39,14.9382,8,3.2,0.383030769230769,0.4,4.6681875,"2020","03","19","RF"
"40","./ieeelatam/data/marzo/semana3/","20200319_RF_Huemul Mata espera regresar al país la semana próxima.txt",66,35.9167,7,3.1,0.544192424242424,0.442857142857143,11.5860322580645,"2020","03","19","RF"
"41","./ieeelatam/data/marzo/semana3/","20200319_RF_Ya está disponible la web para consultar quién debe estar en cuarentena.txt",14,6.1,0,0,0.435714285714286,NA,NA,"2020","03","19","RF"
"42","./ieeelatam/data/marzo/semana3/","20200320_DT_En La Pampa, juicios “exprés” para los que violen la cuarentena.txt",46,20.0433,28,10.8,0.435723913043478,0.385714285714286,1.85586111111111,"2020","03","20","DT"
"43","./ieeelatam/data/marzo/semana3/","20200320_DT_En La Pampa, otro día sin casos confirmados ni sospechosos de coronavirus.txt",12,4.4429,5,2.3,0.370241666666667,0.46,1.93169565217391,"2020","03","20","DT"
"44","./ieeelatam/data/marzo/semana3/","20200320_IP_Vialidad Provincial se sumó a la campaña de prevención respecto al COVID-19.txt",17,6.3001,0,0,0.370594117647059,NA,NA,"2020","03","20","IP"
"45","./ieeelatam/data/marzo/semana3/","20200320_LA_Coronavirus. texto completo del DNU del Aislamiento Social Obligatorio.txt",274,132.30945,61,20.4332,0.482881204379562,0.334970491803279,6.47521925102285,"2020","03","20","LA"
"46","./ieeelatam/data/marzo/semana3/","20200320_LA_La economía en tiempos de peste.txt",65,28.4165,27,12,0.437176923076923,0.444444444444444,2.36804166666667,"2020","03","20","LA"
"47","./ieeelatam/data/marzo/semana3/","20200320_LA_Se cuadriplicó la demanda de cadetes y mensajeros.txt",112,60.99995,12,5.4,0.544642410714286,0.45,11.296287037037,"2020","03","20","LA"
"48","./ieeelatam/data/marzo/semana3/","20200320_RF_El Fre.Ju.Pa, alineado.txt",27,12.30005,4,0.9,0.455557407407407,0.225,13.6667222222222,"2020","03","20","RF"
"49","./ieeelatam/data/marzo/semana3/","20200321_DT_Con 225 casos de coronavirus en el país, La Pampa aún está a salvo.txt",84,39.3165,22,7.33333333333333,0.468053571428571,0.333333333333333,5.36134090909091,"2020","03","21","DT"
"50","./ieeelatam/data/marzo/semana3/","20200321_DT_Coronavirus. este sábado, sin casos confirmados ni sospechosos en La Pampa.txt",29,12.02865,8,3.4,0.414781034482759,0.425,3.53783823529412,"2020","03","21","DT"
"51","./ieeelatam/data/marzo/semana3/","20200321_IP_El comité de crisis sanitaria en General Pico sugirió el cierre total de comercios por acuerdo social los días domingo, lunes y martes.txt",36,14.51675,7,1.5,0.403243055555556,0.214285714285714,9.67783333333334,"2020","03","21","IP"
"52","./ieeelatam/data/marzo/semana3/","20200321_IP_La Pampa se mantiene sin casos confirmados o sospechosos del Covid-19.txt",57,24.43355,11,4.4,0.428658771929825,0.4,5.55307954545455,"2020","03","21","IP"
"53","./ieeelatam/data/marzo/semana3/","20200321_LA_Coronavirus en Argentina.158 infectados, 4 muertos y 15 provincias afectadas.txt",24,9.8262,6,2.8,0.409425,0.466666666666667,3.50935714285714,"2020","03","21","LA"
"54","./ieeelatam/data/marzo/semana3/","20200321_LA_Cuarta muerte por coronavirus en Argentina.txt",21,8.71665,3,0.6,0.415078571428572,0.2,14.52775,"2020","03","21","LA"
"55","./ieeelatam/data/marzo/semana3/","20200321_LA_Detuvieron a una pareja por violar la cuarentena en Santa Rosa.txt",53,26.3711,7,2,0.497567924528302,0.285714285714286,13.18555,"2020","03","21","LA"
"56","./ieeelatam/data/marzo/semana3/","20200321_LA_El Covid-19 avanza en Reino Unido.txt",61,23.22855,9,3.96666666666667,0.380795901639344,0.440740740740741,5.85593697478992,"2020","03","21","LA"
"57","./ieeelatam/data/marzo/semana3/","20200321_LA_La Pampa continúa sin casos confirmados o sospechosos de Covid-19.txt",57,24.43355,11,4.4,0.428658771929825,0.4,5.55307954545455,"2020","03","21","LA"
"58","./ieeelatam/data/marzo/semana3/","20200321_LA_Largas colas en los supermercados.txt",68,29.59305,6,1.86666666666667,0.435191911764706,0.311111111111111,15.8534196428571,"2020","03","21","LA"
