"","term","log2ratio21","top1","top2"
"347","detección",8.71082970259766,1,19
"348","confirma",8.69674460811831,1,19
"349","modificó",8.58298928830535,1,19
"350","afmpf",8.27054050888028,1,19
"351","mujeres",-11.0432472196721,1,19
"352","turno",-10.5910752490023,1,19
"353","sumó",-9.94040678944477,1,19
"354","efector",-9.80356136173124,1,19
"355","contaron",-9.49564574826275,1,19
"356","aglutinada",-8.48279308160768,1,19
"357","coopere",-8.10779768165211,1,19
"358","tratando",-7.87744119256131,1,19
"359","priorizaron",-7.7704249660591,1,19
"360","creación",-7.69172049059187,1,19
"361","abramo",11.3450205882398,1,20
"362","comunicadas",9.24752652038862,1,20
"363","completaron",9.24204733911744,1,20
"364","fasce",9.19671062003705,1,20
"365","modificó",9.14939896852588,1,20
"366","twitter",8.86276048468639,1,20
"367","afmpf",8.69938104405685,1,20
"368","dependerá",8.46017193016073,1,20
"369","detección",8.34678561916542,1,20
"370","decretado",8.30735425196305,1,20
"371","sudamérica",-11.173258132779,1,20
"372","quepacientes",-9.38432368924262,1,20
"373","desórdenes",-9.23108477932015,1,20
"374","rescatamos",-9.13505962322215,1,20
"375","nuevoscasos",-8.65158459139061,1,20
"376","villegas",-8.06099312123073,1,20
"377","nápoles",-8.01292614861852,1,20
"378","agresión",-7.99156236755051,1,20
"379","bases",-7.97843642396618,1,20
"380","circulaban",-7.67233349366564,1,20
"381","abramo",12.3654682956318,1,21
"382","completaron",9.41745907826214,1,21
"383","modificó",8.83694767982356,1,21
"384","ruido",8.74245562746598,1,21
"385","decretad",8.55991529370578,1,21
"386","comunicadas",8.45443460937543,1,21
"387","interrupciones",8.43427900310267,1,21
"388","dependerá",8.41089830456213,1,21
"389","enfocarse",8.20357440499283,1,21
"390","actualizada",8.13710237371785,1,21
"391","recoger",-9.82801753738528,1,21
"392","contemplaciones",-8.92944265198586,1,21
"393","pertinentes",-8.80251408110402,1,21
"394","físicos",-8.77015012698826,1,21
"395","pymespor",-8.44117376562738,1,21
"396","cuyos",-8.22923970424699,1,21
"397","adhesión",-8.19472046411927,1,21
"398","obligaban",-8.11598717578419,1,21
"399","ésto",-8.09917946092401,1,21
"400","whats",-8.01302029370865,1,21
"401","abramo",12.255206636568,1,22
"402","confirma",8.87338006087306,1,22
"403","completaron",8.79232721854723,1,22
"404","dependerá",8.78764860936769,1,22
"405","modificó",8.7804760843596,1,22
"406","decretad",8.7090824770882,1,22
"407","ruido",8.61917885030816,1,22
"408","afmpf",8.59062085864288,1,22
"409","twitter",8.30216146288141,1,22
"410","enfocarse",8.23357771244373,1,22
"411","recorte",-11.5988229919311,1,22
"412","antecedentes",-11.4985019640117,1,22
"413","visitó",-10.7162587244924,1,22
"414","sappa",-10.52990969455,1,22
"415","representan",-10.1409940328136,1,22
"416","escaló",-9.71696681596924,1,22
"417","pasaban",-9.23480775364395,1,22
"418","oficialismo",-9.04361996777471,1,22
"419","concluimos",-9.01479319964329,1,22
"420","normativas",-8.9737124320686,1,22
"421","completaron",10.0382315635349,1,23
"422","abramo",9.56432920324388,1,23
"423","detección",8.80855634128154,1,23
"424","confirma",8.73711476044003,1,23
"425","permanece",8.65964133442144,1,23
"426","actualizada",8.60215209734657,1,23
"427","decretad",8.59791273116584,1,23
"428","comunicadas",8.58291547930096,1,23
"429","interrupciones",8.40780653620852,1,23
"430","fasce",8.35032394755713,1,23
"431","chubut",-11.1936882018593,1,23
"432","acompañar",-11.1156646461847,1,23
"433","negroen",-10.8542521138783,1,23
"434","estamentos",-10.7932739740168,1,23
"435","mesas",-10.4810759241923,1,23
"436","custodia",-9.61269716275461,1,23
"437","tranquilos",-9.39836511348114,1,23
"438","parámetros",-8.4383561865667,1,23
"439","muestreo",-8.25729137984724,1,23
"440","sometidos",-8.24688437322835,1,23
"441","abramo",11.1287616092175,1,24
"442","comunicadas",9.33742406449446,1,24
"443","modificó",8.74298774813859,1,24
"444","twitter",8.72765206259138,1,24
"445","confirma",8.64377154134305,1,24
"446","enfocarse",8.48054553370425,1,24
"447","diere",8.47822513021949,1,24
"448","dependerá",8.09854964256755,1,24
"449","varado",8.09580117715163,1,24
"450","completaron",8.0929916123246,1,24
"451","lleno",-10.8643565078059,1,24
"452","global",-10.0161784671677,1,24
"453","pampeanas",-9.56171690095679,1,24
"454","glúteos",-8.65912457639431,1,24
"455","incrementará",-8.63190631364187,1,24
"456","homenajeó",-8.62821778010601,1,24
"457","ejercer",-8.60117325017281,1,24
"458","mendoza",-8.56460560657931,1,24
"459","diseases",-8.43977850795277,1,24
"460","ambitocomna",-8.34198274906466,1,24
"461","abramo",12.3724553370155,1,25
"462","modificó",8.86542881075468,1,25
"463","actualizada",8.86074219291621,1,25
"464","twitter",8.84528795041608,1,25
"465","diere",8.55763458553297,1,25
"466","ruido",8.5091312852755,1,25
"467","contagiarse",8.41398632637704,1,25
"468","dependerá",8.39179378436037,1,25
"469","completaron",8.19897455892494,1,25
"470","permanece",8.16349778357564,1,25
"471","política",-9.50533435884131,1,25
"472","respectivas",-9.38438224455271,1,25
"473","didier",-8.61738798738229,1,25
"474","juventus",-8.31810088400355,1,25
"475","usás",-8.27745277410684,1,25
"476","publica",-8.27424206521921,1,25
"477","fpa",-8.16955405076972,1,25
"478","aislación",-7.91695369183804,1,25
"479","azitromicina",-7.7476940969394,1,25
"480","acompañar",-7.69159590316479,1,25
"481","abramo",11.5762733727811,1,26
"482","completaron",9.62626063485208,1,26
"483","detección",9.04939431493847,1,26
"484","twitter",8.96264475221073,1,26
"485","comunicadas",8.84406713615169,1,26
"486","confirma",8.71157967476133,1,26
"487","ruido",8.60842748913299,1,26
"488","fasce",8.19255725288581,1,26
"489","diere",8.11014965675749,1,26
"490","afmpf",7.94572866598778,1,26
"491","legajos",-10.0559631517617,1,26
"492","rutina",-9.96759100429316,1,26
"493","provocandofallecimientos",-9.92981216565608,1,26
"494","lucha",-9.9277471358982,1,26
"495","hipertenso",-9.5228239737391,1,26
"496","calificando",-8.80308757233208,1,26
"497","actuará",-8.71901612077029,1,26
"498","cuclillas",-8.71596504661413,1,26
"499","prescripción",-8.68751175898378,1,26
"500","afines",-8.57526956629829,1,26
"501","abramo",12.1770939462018,1,27
"502","completaron",10.2168652140061,1,27
"503","comunicadas",9.31962447784986,1,27
"504","fasce",9.25647123480556,1,27
"505","confirma",8.75929658091062,1,27
"506","decretad",8.73188194445989,1,27
"507","modificó",8.62880961054007,1,27
"508","interrupciones",8.17759402672581,1,27
"509","dependerá",8.16658034535552,1,27
"510","diere",8.14160429601923,1,27
"511","sumanpositivos",-9.30825790084204,1,27
"512","domicilios",-8.98684623524659,1,27
"513","procesal",-8.96015199711287,1,27
"514","oponen",-8.67297839753997,1,27
"515","marchas",-8.38517431089211,1,27
"516","declaradas",-8.28555427744952,1,27
"517","extraordinarios",-8.27380336072293,1,27
"518","conviven",-8.26742431487953,1,27
"519","opositora",-8.19223681656539,1,27
"520","tomada",-7.82443356384352,1,27
"521","abramo",12.1022065787857,1,28
"522","comunicadas",9.31533425028514,1,28
"523","confirma",8.80354942704094,1,28
"524","decretad",8.71589247804275,1,28
"525","detección",8.45683344952256,1,28
"526","actualizada",8.35910244714352,1,28
"527","dependerá",8.13642313501013,1,28
"528","agregar",8.02648622326923,1,28
"529","twitter",7.83788101804052,1,28
"530","caram",7.7643503014824,1,28
"531","dialogo",-10.692655782749,1,28
"532","terapéutica",-10.3024737765564,1,28
"533","desinfectantes",-10.0534447586098,1,28
"534","vean",-9.97959573187257,1,28
"535","imprimir",-9.2703156095889,1,28
"536","aeropuertos",-8.87960762052285,1,28
"537","ramerio",-8.78964414049262,1,28
"538","documentos",-8.63001207641196,1,28
"539","aceptarlo",-8.42726826111419,1,28
"540","álvarezen",-8.28208257746341,1,28
"541","abramo",12.146799383091,1,29
"542","twitter",8.85274387450044,1,29
"543","contagiarse",8.65155225291909,1,29
"544","modificó",8.65039354020619,1,29
"545","actualizada",8.596394702522,1,29
"546","completaron",8.48516437676353,1,29
"547","detección",8.45947878465628,1,29
"548","permanece",8.45434107037187,1,29
"549","afmpf",8.40398310261884,1,29
"550","fasce",8.34681458338901,1,29
"551","feria",-10.9388460870753,1,29
"552","marta",-10.2040735946893,1,29
"553","impediría",-10.1798420805959,1,29
"554","agraven",-9.41011085024923,1,29
"555","especiales",-9.38503488526408,1,29
"556","subsecretaría",-9.34300271806388,1,29
"557","recesión",-9.09042049893151,1,29
"558","proteja",-9.03351542387705,1,29
"559","comedor",-8.64134644701364,1,29
"560","cotorra",-8.54620034857054,1,29
"561","abramo",12.3249061280294,1,30
"562","completaron",9.1164955644922,1,30
"563","fasce",8.99563809653541,1,30
"564","afmpf",8.74598482279568,1,30
"565","twitter",8.73790178420003,1,30
"566","permanece",8.39332683849005,1,30
"567","comunicadas",8.23274458193717,1,30
"568","dependerá",8.18909163587323,1,30
"569","interrupciones",8.11700148394551,1,30
"570","contagiarse",8.01471811113717,1,30
"571","estará",-10.9354298867122,1,30
"572","planteada",-10.1247701924861,1,30
"573","conseguirían",-9.92534254504165,1,30
"574","epidemiológicos",-9.72301176356315,1,30
"575","chacomendozacórdobatierra",-8.76354793129765,1,30
"576","unos",-8.75059383020643,1,30
"577","temperatura",-8.66691696613107,1,30
"578","portuaria",-8.41937383642344,1,30
"579","héroes",-8.39537363873955,1,30
"580","virgilio",-8.23999897842401,1,30
"581","completaron",9.4983912885119,1,31
"582","decretad",8.85588661002242,1,31
"583","fasce",8.84501035591436,1,31
"584","dependerá",8.62371598580948,1,31
"585","confirma",8.54879646683169,1,31
"586","interrupciones",8.34199403282664,1,31
"587","diere",8.28052416077873,1,31
"588","twitter",8.25734815588671,1,31
"589","afmpf",8.20295541924355,1,31
"590","enfocarse",8.07684344554717,1,31
"591","cae",-10.5042280031071,1,31
"592","define",-8.70053339385271,1,31
"593","descentralizó",-8.51712120331412,1,31
"594","cabral",-8.08401698039683,1,31
"595","maximiliano",-7.8187502471046,1,31
"596","eje",-7.77824861277206,1,31
"597","efectivos",-7.70213145573202,1,31
"598","vivieron",-7.68597528379855,1,31
"599","losaños",-7.57234369321681,1,31
"600","jubilados",-7.50959989391413,1,31
"601","abramo",11.837696532,1,32
"602","modificó",9.19332528583723,1,32
"603","detección",8.80571711288155,1,32
"604","fasce",8.60848587650735,1,32
"605","comunicadas",8.46609952765699,1,32
"606","enfocarse",8.32049171724427,1,32
"607","afmpf",8.31642613151566,1,32
"608","decretado",8.24230883630105,1,32
"609","twitter",8.20682387771511,1,32
"610","actualizada",8.19022713828862,1,32
"611","cierran",-11.5519242392268,1,32
"612","gastos",-10.8555064674421,1,32
"613","destinen",-9.79156768330597,1,32
"614","sucursales",-9.40753007220953,1,32
"615","vinieron",-9.33884955556118,1,32
"616","recoger",-8.57957210019399,1,32
"617","desmalezado",-8.55632959422909,1,32
"618","luchando",-8.39041697861727,1,32
"619","experimental",-8.36826246324983,1,32
"620","mientas",-8.24585220993193,1,32
"621","solidario",12.3429877709998,2,3
"622","completar",11.2127545766227,2,3
"623","logró",10.8065405864256,2,3
"624","losmuertes",10.0027738306177,2,3
"625","tarditti",9.3808694894076,2,3
"626","practica",9.37657552547494,2,3
"627","mas",8.96645524032129,2,3
"628","cuidados",8.80222005566015,2,3
"629","tomando",8.60268402628645,2,3
"630","salariales",8.34743212172716,2,3
"631","variantes",-10.4689286577051,2,3
"632","viandas",-9.61843399426644,2,3
"633","losdías",-9.40889260463732,2,3
"634","coronaviruscovid",-8.96918692200752,2,3
"635","asusta",-8.84754557381371,2,3
"636","desertizaciones",-8.45070603777733,2,3
"637","paulo",-8.44419021875592,2,3
"638","acceso",-8.43470389801367,2,3
"639","deaños",-8.3982313830756,2,3
"640","vínculos",-8.21960867699237,2,3
"641","solidario",12.2413607216947,2,4
"642","completar",11.7714466274724,2,4
"643","logró",10.2915046921455,2,4
"644","tarditti",10.2215326712071,2,4
"645","tomando",8.86604758581022,2,4
"646","cuidados",8.83929088177439,2,4
"647","practica",8.81815184095848,2,4
"648","salariales",8.54697195114761,2,4
"649","pudieron",8.21176080653593,2,4
"650","instalarán",8.00386949089431,2,4
"651","instantes",-10.0727115715277,2,4
"652","xinhua",-9.91277246137377,2,4
"653","comparar",-9.80786666390507,2,4
"654","propietario",-9.52676578271776,2,4
"655","hidroxicloroquina",-9.16760787385559,2,4
"656","pago",-8.97944906332349,2,4
"657","aprobado",-8.88654869195036,2,4
"658","respaldando",-8.63000423185113,2,4
"659","pantalones",-7.71433551102599,2,4
"660","instructorado",-7.69704533697864,2,4
"661","completar",11.8921915087844,2,5
"662","solidario",11.1813812805133,2,5
"663","logró",10.7728190277455,2,5
"664","tarditti",10.4150081349377,2,5
"665","practica",9.46742539071455,2,5
"666","mas",8.67424002157955,2,5
"667","pudieron",8.61641184124411,2,5
"668","cargarlos",8.52493989431229,2,5
"669","salariales",8.31790682742252,2,5
"670","losmuertes",8.31076016998573,2,5
"671","desecamiento",-12.0962557193787,2,5
"672","sic",-10.2095276167448,2,5
"673","mayo",-9.57238564508413,2,5
"674","móviles",-9.53505172661502,2,5
"675","agote",-9.0469194688679,2,5
"676","flagrantes",-8.79657952241603,2,5
"677","xinhua",-8.74889127229319,2,5
"678","asegura",-8.66712775584531,2,5
"679","tomándole",-8.65191694527114,2,5
"680","fronterizo",-8.60059140109614,2,5
"681","solidario",12.1810534266312,2,6
"682","completar",11.0702257330386,2,6
"683","tarditti",10.6857391297295,2,6
"684","llegado",9.86774717102722,2,6
"685","cuidados",8.87601714627272,2,6
"686","logró",8.77156301456558,2,6
"687","losmuertes",8.74381135152851,2,6
"688","mas",8.57333672487388,2,6
"689","númerodel",8.05789089081854,2,6
"690","levante",7.97097158366217,2,6
"691","brutal",-10.8382601590415,2,6
"692","ghezzi",-10.5386927112193,2,6
"693","nasal",-10.131384253122,2,6
"694","temporal",-9.95327365023744,2,6
"695","daniele",-9.21265529657134,2,6
"696","rescatado",-8.93149210602514,2,6
