"","palabra","freq","magrado","mactivacion","mimag"
"2827","devolverle",1,NA,NA,NA
"2828","díaayer",1,NA,NA,NA
"2829","diabetes",1,NA,NA,NA
"2830","diagnosticadas",1,NA,NA,NA
"2831","diagnosticados",1,NA,NA,NA
"2832","diaria",1,NA,NA,NA
"2833","diarios",1,NA,NA,NA
"2834","dibujo",1,2.8,1.8,3
"2835","dicen",1,NA,NA,NA
"2836","dicha",1,2.8333,2.1667,2.6667
"2837","diciendo",1,NA,NA,NA
"2838","diego",1,NA,NA,NA
"2839","dientes",1,NA,NA,NA
"2840","diera",1,NA,NA,NA
"2841","diferencia",1,2,2,2.2
"2842","diferenciación",1,NA,NA,NA
"2843","diferir",1,NA,NA,NA
"2844","difícil",1,2,2.2,2.2
"2845","dificultad",1,1.6,2.4,2.4
"2846","difundió",1,NA,NA,NA
"2847","digitalmente",1,NA,NA,NA
"2848","digno",1,3,2.4,2
"2849","dilaciones",1,NA,NA,NA
"2850","dimensionar",1,NA,NA,NA
"2851","dinámica",1,NA,NA,NA
"2852","dioreactivos",1,NA,NA,NA
"2853","directa",1,NA,NA,NA
"2854","directamente",1,2.4,2.6,2.8
"2855","directorio",1,NA,NA,NA
"2856","dirigido",1,NA,NA,NA
"2857","discotecas",1,NA,NA,NA
"2858","discrepamos",1,NA,NA,NA
"2859","discrimina",1,NA,NA,NA
"2860","discusiones",1,NA,NA,NA
"2861","diseases",1,NA,NA,NA
"2862","disminuyendo",1,NA,NA,NA
"2863","disparar",1,1.6,3,3
"2864","dispongan",1,NA,NA,NA
"2865","disponibilidad",1,NA,NA,NA
"2866","disponibles",1,NA,NA,NA
"2867","dispositivo",1,NA,NA,NA
"2868","dispuesta",1,NA,NA,NA
"2869","dispuestos",1,NA,NA,NA
"2870","disputa",1,NA,NA,NA
"2871","distancias",1,NA,NA,NA
"2872","distante",1,1.4,2,2.6
"2873","distinto",1,2.2,2.2,2.2
"2874","distrés",1,NA,NA,NA
"2875","distribuidor",1,NA,NA,NA
"2876","distribuidos",1,NA,NA,NA
"2877","distribuyan",1,NA,NA,NA
"2878","distribuye",1,NA,NA,NA
"2879","distribuyeron",1,NA,NA,NA
"2880","distribuyó",1,NA,NA,NA
"2881","diversas",1,NA,NA,NA
"2882","dividida",1,NA,NA,NA
"2883","dividido",1,NA,NA,NA
"2884","división",1,2,2.8,2.8
"2885","divulgó",1,NA,NA,NA
"2886","dni",1,NA,NA,NA
"2887","doble",1,2.2,2,2.2
"2888","documentación",1,NA,NA,NA
"2889","documento",1,2,1.8,2.8
"2890","dolor",1,1,2.6,2.8
"2891","doloroso",1,1,3,3
"2892","domiciliario",1,NA,NA,NA
"2893","domicilios",1,NA,NA,NA
"2894","dominios",1,NA,NA,NA
"2895","donación",1,NA,NA,NA
"2896","donando",1,NA,NA,NA
"2897","donar",1,NA,NA,NA
"2898","donarán",1,NA,NA,NA
"2899","donarántambién",1,NA,NA,NA
"2900","donarmil",1,NA,NA,NA
"2901","dotación",1,NA,NA,NA
"2902","drásticas",1,NA,NA,NA
"2903","dudas",1,NA,NA,NA
"2904","ébola",1,NA,NA,NA
"2905","ecnt",1,NA,NA,NA
"2906","eco",1,2.2,2,2.6
"2907","edgardo",1,NA,NA,NA
"2908","edición",1,2,2.6,2.2
"2909","educativa",1,NA,NA,NA
"2910","eeuu",1,NA,NA,NA
"2911","efe",1,NA,NA,NA
"2912","efectividad",1,NA,NA,NA
"2913","efecto",1,2.4,2.8,1.6
"2914","efectuó",1,NA,NA,NA
"2915","ejecutivos",1,NA,NA,NA
"2916","ejercido",1,NA,NA,NA
"2917","elaborada",1,NA,NA,NA
"2918","elaboró",1,NA,NA,NA
"2919","electrónicos",1,NA,NA,NA
"2920","elegido",1,2.6,2.8,2.8
"2921","elevando",1,NA,NA,NA
"2922","elevó",1,NA,NA,NA
"2923","eliminar",1,2,3,3
"2924","elno",1,NA,NA,NA
"2925","ely",1,NA,NA,NA
"2926","ematología",1,NA,NA,NA
"2927","embargo",1,NA,NA,NA
"2928","emergencies",1,NA,NA,NA
"2929","emergentes",1,NA,NA,NA
"2930","emhsu",1,NA,NA,NA
"2931","emitido",1,NA,NA,NA
"2932","emitió",1,NA,NA,NA
"2933","emitir",1,2.4,3,1.8
"2934","emmanuel",1,NA,NA,NA
"2935","emolumentos",1,NA,NA,NA
"2936","emplearse",1,NA,NA,NA
"2937","empleo",1,2.8,3,2.6
"2938","emprendieron",1,NA,NA,NA
"2939","empresariales",1,NA,NA,NA
"2940","encabeza",1,NA,NA,NA
"2941","encabezó",1,NA,NA,NA
"2942","encima",1,2.4,2.4,2.6
"2943","encon",1,NA,NA,NA
"2944","encontraban",1,NA,NA,NA
"2945","encontrar",1,2.6,2.6,3
"2946","encontraron",1,NA,NA,NA
"2947","encuentren",1,NA,NA,NA
"2948","encuestas",1,NA,NA,NA
"2949","ende",1,NA,NA,NA
"2950","enemigo",1,1.2,2.4,2.7
"2951","énfasis",1,NA,NA,NA
"2952","enfermo",1,1,1,2.8
"2953","enfrentarían",1,NA,NA,NA
"2954","engañemos",1,NA,NA,NA
"2955","engrandecen",1,NA,NA,NA
"2956","enhabía",1,NA,NA,NA
"2957","enhorasen",1,NA,NA,NA
"2958","enmarcados",1,NA,NA,NA
"2959","enmascarar",1,NA,NA,NA
"2960","enmillones",1,NA,NA,NA
"2961","enraizado",1,NA,NA,NA
"2962","enrico",1,NA,NA,NA
"2963","enrique",1,NA,NA,NA
"2964","enriquez",1,NA,NA,NA
"2965","ensayos",1,NA,NA,NA
"2966","enseñanza",1,2.8,3,3
"2967","enseñar",1,3,3,3
"2968","enseñen",1,NA,NA,NA
