"","palabra","freq","magrado","mactivacion","mimag"
"1073","involucrados",1,NA,NA,NA
"1074","involucran",1,NA,NA,NA
"1075","italiana",1,NA,NA,NA
"1076","josé",1,NA,NA,NA
"1077","joven",1,2.2,2.3,2.8
"1078","judiciales",1,NA,NA,NA
"1079","juegos",1,NA,NA,NA
"1080","junto",1,2.5,2.2,2.5
"1081","jurisdicción",1,NA,NA,NA
"1082","juvenil",1,2.6,1.8,2.6
"1083","laarena",1,NA,NA,NA
"1084","lado",1,2,1.6,2.4
"1085","lamentamos",1,NA,NA,NA
"1086","lasaplaudí",1,NA,NA,NA
"1087","latinoamérica",1,NA,NA,NA
"1088","lavarse",1,NA,NA,NA
"1089","lavate",1,NA,NA,NA
"1090","ley",1,2,2.8,2.8
"1091","libre",1,2.8,2.6,2.2
"1092","limpiá",1,NA,NA,NA
"1093","llamá",1,NA,NA,NA
"1094","llame",1,NA,NA,NA
"1095","llega",1,NA,NA,NA
"1096","llegada",1,2.6,2.6,2.6
"1097","llegado",1,NA,NA,NA
"1098","llegaron",1,NA,NA,NA
"1099","llegó",1,NA,NA,NA
"1100","lleguen",1,NA,NA,NA
"1101","llevaba",1,NA,NA,NA
"1102","lópez",1,NA,NA,NA
"1103","losaños",1,NA,NA,NA
"1104","losy",1,NA,NA,NA
"1105","lowo",1,NA,NA,NA
"1106","lunes",1,NA,NA,NA
"1107","luro",1,NA,NA,NA
"1108","magistrados",1,NA,NA,NA
"1109","maldito",1,1,2.3,2.7
"1110","maneras",1,NA,NA,NA
"1111","manifestada",1,NA,NA,NA
"1112","manifestó",1,NA,NA,NA
"1113","mantener",1,1.8,3,1.6
"1114","mantenerse",1,NA,NA,NA
"1115","mantienen",1,NA,NA,NA
"1116","marcha",1,1.8333,2.3333,2.5
"1117","marinos",1,NA,NA,NA
"1118","martita",1,NA,NA,NA
"1119","masiva",1,NA,NA,NA
"1120","masivos",1,NA,NA,NA
"1121","matanza",1,NA,NA,NA
"1122","materia",1,2,1.8,2
"1123","mayo",1,NA,NA,NA
"1124","mayor",1,2.3333,2.1667,3
"1125","mayores",1,NA,NA,NA
"1126","media",1,NA,NA,NA
"1127","medio",1,1.93333333333333,2,2.4
"1128","mediodía",1,NA,NA,NA
"1129","mencionadas",1,NA,NA,NA
"1130","mencionó",1,NA,NA,NA
"1131","menor",1,2,2,2.6
"1132","mes",1,2.2,2,2.2
"1133","minimizamos",1,NA,NA,NA
"1134","ministerios",1,NA,NA,NA
"1135","mirando",1,NA,NA,NA
"1136","mitigación",1,NA,NA,NA
"1137","modalidad",1,NA,NA,NA
"1138","modo",1,2,1.8,1.6
"1139","molestias",1,NA,NA,NA
"1140","momentáneamente",1,NA,NA,NA
"1141","mortalidad",1,NA,NA,NA
"1142","motivo",1,2.2,2.2,1.8
"1143","movilidad",1,NA,NA,NA
"1144","movilidades",1,NA,NA,NA
"1145","msp",1,NA,NA,NA
"1146","muerte",1,1.2,2,2.2
"1147","muertes",1,NA,NA,NA
"1148","muestra",1,2,1.8,2.6
"1149","muestran",1,NA,NA,NA
"1150","muestras",1,NA,NA,NA
"1151","mundial",1,2.3333,2.1667,2.5
"1152","muñiz",1,NA,NA,NA
"1153","murieron",1,NA,NA,NA
"1154","nariz",1,2,2.2,2.8
"1155","nasales",1,NA,NA,NA
"1156","necesarias",1,NA,NA,NA
"1157","negativo",1,NA,NA,NA
"1158","nene",1,NA,NA,NA
"1159","neumonía",1,NA,NA,NA
"1160","ningún",1,NA,NA,NA
"1161","ninguno",1,NA,NA,NA
"1162","norma",1,2.1667,1.8333,2.1667
"1163","normativamente",1,NA,NA,NA
"1164","nosocomio",1,NA,NA,NA
"1165","nota",1,2.6,2,2.4
"1166","notificar",1,NA,NA,NA
"1167","novedades",1,NA,NA,NA
"1168","noventa",1,NA,NA,NA
"1169","nuevas",1,NA,NA,NA
"1170","nuevasvíctimas",1,NA,NA,NA
"1171","númerode",1,NA,NA,NA
"1172","objetos",1,NA,NA,NA
"1173","obliga",1,NA,NA,NA
"1174","obligación",1,1.6,2.4,2.8
"1175","obligatoria",1,NA,NA,NA
"1176","obligó",1,NA,NA,NA
"1177","observación",1,2.8,2.4,2.6
"1178","ocasionadas",1,NA,NA,NA
"1179","ocupe",1,NA,NA,NA
"1180","ocurrencia",1,NA,NA,NA
"1181","oficialesa",1,NA,NA,NA
"1182","ojos",1,NA,NA,NA
"1183","olla",1,NA,NA,NA
"1184","omar",1,NA,NA,NA
"1185","operativa",1,NA,NA,NA
"1186","oportuna",1,NA,NA,NA
"1187","oposición",1,1.6,2.8,2.6
"1188","orden",1,2.1667,2.3333,2.5
"1189","ordenados",1,NA,NA,NA
"1190","ordenanza",1,NA,NA,NA
"1191","ordenó",1,NA,NA,NA
